Title,Published_date,Views,Likes,Comments,Month
The FAKE Life of Bollywood Celebrities | Paparazzi Culture | Dhruv Rathee,2024-06-30,23040198,977527,45256,Jun
What if I become India's Prime Minister? | Dhruv Rathee,2024-06-26,14726593,1077139,162973,Jun
Google’s $2 Trillion Business Model | How Google Earns Money? | Dhruv Rathee,2024-06-19,11549570,516797,30199,Jun
NEET 2024 | India’s Biggest Exam Fraud? | Dhruv Rathee,2024-06-13,15127951,1222737,84621,Jun
The Science behind Exorcism | Is Demonic Possession Possible? | Dhruv Rathee,2024-06-10,18628687,863165,72627,Jun
My Final Message before 2024 Election Results | Dhruv Rathee,2024-06-03,26006749,2663228,451951,Jun
The Pune Porsche Crash | Rich People vs Aam Aadmi | Dhruv Rathee,2024-06-02,16325143,964864,53620,Jun
Is India the Vishwaguru? | PM Modi vs PM Nehru | Report Card | Dhruv Rathee,2024-05-31,16053231,1227484,139858,May
Extreme Heatwave in India | Why 2024 is the Hottest Year? | Dhruv Rathee,2024-05-26,19095983,1004343,69990,May
Reality of Narendra Modi (Part-2) | A DICTATOR Mentality? | Dhruv Rathee,2024-05-19,18352593,1901071,238987,May
Reality of Narendra Modi | How Indians were Fooled! | Dhruv Rathee,2024-05-12,41311656,2846451,330136,May
Stop Eating This! | Detailed Analysis of Indian Masala Ban | Dhruv Rathee,2024-05-10,11468217,671637,52754,May
Aurangzeb vs Shivaji Maharaj | How India's True History was Hidden from You! | Dhruv Rathee,2024-05-06,16303851,1281040,150967,May
"Reality of ""Mera Abdul"" | The Hindu-Muslim Brainwash Agenda | Dhruv Rathee",2024-04-28,16395799,1627325,198461,Apr
🚨Cancerous Chemical in Indian Food! #dhruvrathee,2024-04-26,19243885,1576262,28158,Apr
How Millions of Indians were BRAINWASHED? | The WhatsApp Mafia | Dhruv Rathee,2024-04-23,20952473,2018135,258157,Apr
India Needs Jobs! | Reality of Unemployment Crisis | Dhruv Rathee,2024-04-18,15172349,1286005,115772,Apr
Electoral Bonds Scam: The Pharma Files | Dhruv Rathee,2024-04-13,14213926,1335742,117248,Apr
Reality of my YouTube Career | How I went from 0 to 25 Million? | Dhruv Rathee,2024-04-07,10576253,611097,40945,Apr
Arvind Kejriwal Jailed! | DICTATORSHIP Confirmed? | Dhruv Rathee,2024-04-01,37876528,3080214,352661,Apr
